Time_min	Drawdown_m
539	25.49398274
540	25.53014619
541	25.52827566
542	25.55571
543	25.56007456
544	25.57628576
545	25.60808465
546	25.60621413
547	25.62180182
548	25.6448716
549	25.6610828
550	25.64050705
551	25.66544736
552	25.66544736
553	25.6610828
554	25.67978804
555	25.65671825
556	25.66357684
557	25.66357684
558	25.65671825
559	25.6361425
560	25.67292945
561	25.65921228
562	25.69537573
563	25.6935052
564	25.71595148
565	25.72093954
566	25.70472834
567	25.72093954
568	25.7253041
569	25.74400933
570	25.74837388
571	25.76894964
572	25.75523247
573	25.76707911
574	25.76894964
575	25.7739377
576	25.80074853
577	25.77331419
578	25.78516084
579	25.78952539
580	25.80137204
581	25.81072465
582	25.82880638
583	25.83317093
584	25.84938213
585	25.85624071
586	25.85624071
587	25.88866311
588	25.89053364
589	25.90923887
590	25.9117329
591	25.95039038
592	25.95288441
593	25.96660158
594	25.98031875
595	26.01274115
596	26.0171057
597	26.0333169
598	26.03518742
599	26.04890459
600	26.0738449
601	26.05326915
602	26.08319752
603	26.07883296
604	26.09878521
605	26.10127924
606	26.13806619
607	26.20914607
608	26.28022595
609	26.36471124
610	26.44732601
611	26.4906598
612	26.52962903
613	26.56891001
614	26.628455
615	26.61910238
616	26.63281955
617	26.65526583
618	26.65994214
619	26.66212441
620	26.66929475
621	26.65588934
622	26.65838337
623	26.65588934
624	26.67646509
625	26.66929475
626	26.67147703
627	26.66243617
628	26.68082964
629	26.67646509
630	26.69236454
631	26.68332367
632	26.66056564
633	26.67178878
634	26.65588934
635	26.65152478
636	26.67428281
637	26.69267629
638	26.68082964
639	26.70171715
640	26.6811414
641	26.6973526
642	26.6973526
643	26.70389943
644	26.74536269
645	26.72447518
646	26.75658583
647	26.75907986
648	26.76344441
649	26.80241365
650	26.76126214
651	26.75907986
652	26.78402017
653	26.77061475
654	26.80023137
655	26.79337278
656	26.80490768
657	26.79773734
658	26.82984798
659	26.85977635
660	26.84605918
661	26.82984798
662	26.84107112
663	26.85042374
664	26.84605918
665	26.85478829
666	26.85291777
667	26.88222263
668	26.87099949
669	26.85728232
670	26.88004035
671	26.90778645
672	26.88253438
673	26.91433328
674	26.89874558
675	26.90092786
676	26.92617992
677	26.93553254
678	26.91028048
679	26.92617992
680	26.95143198
681	26.95392602
682	26.93771482
683	26.93771482
684	26.95579654
685	26.94893795
686	26.95361426
687	26.97200774
688	26.99258349
689	26.98790719
690	26.99476577
691	26.97419002
692	27.00598891
693	26.98323088
694	27.01534152
695	27.00380663
696	27.04745217
697	27.04526989
698	27.05212848
699	27.03404675
700	27.04308762
701	27.03841131
702	27.05711654
703	27.05680479
704	27.06802792
705	27.05181672
706	27.04526989
707	27.07519826
708	27.05462251
709	27.08423912
710	27.05431076
711	27.05867531
712	27.1026326
713	27.11167346
714	27.08891543
715	27.1026326
716	27.13723728
717	27.10543839
718	27.13224922
719	27.14191359
720	27.14191359
721	27.17121845
722	27.23076343
723	27.297167
724	27.31306645
725	27.3613883
726	27.37292319
727	27.40503384
728	27.43714448
729	27.42560959
730	27.44400307
731	27.42529784
732	27.439015
733	27.4552262
734	27.41843925
735	27.43465045
736	27.42997414
737	27.43932676
738	27.44182079
739	27.44150904
740	27.45304393
741	27.45959076
742	27.4505499
743	27.48733685
744	27.46925513
745	27.47361968
746	27.48920737
747	27.49637771
748	27.51258891
749	27.53067064
750	27.51040664
751	27.52412381
752	27.53067064
753	27.54251728
754	27.56963987
755	27.57868073
756	27.58803334
757	27.57182214
758	27.5923979
759	27.58585107
760	27.59925648
761	27.60829734
762	27.61764996
763	27.60424454
764	27.62263802
765	27.62731433
766	27.6045563
767	27.60892085
768	27.62949661
769	27.62014399
770	27.6045563
771	27.61827347
772	27.64321378
773	27.64570781
774	27.64071974
775	27.64539605
776	27.6248203
777	27.65256639
778	27.65256639
779	27.63635519
780	27.66160725
781	27.64071974
782	27.65443691
783	27.67033636
784	27.65880147
785	27.65880147
786	27.66566005
787	27.68623581
788	27.70026473
789	27.69340615
790	27.68904159
791	27.70026473
792	27.72769907
793	27.73237538
794	27.73705168
795	27.7301931
796	27.72333451
797	27.75544516
798	27.73705168
799	27.74391027
800	27.76698005
801	27.77602092
802	27.76230375
803	27.78973808
804	27.79192036
805	27.78724405
806	27.77820319
807	27.81717242
808	27.80345525
809	27.79628492
810	27.82371925
811	27.82839556
812	27.82621328
813	27.81062559
814	27.83805993
815	27.84024221
816	27.84460676
817	27.84928307
818	27.82870732
819	27.85832393
820	27.84211273
821	27.83088959
822	27.84710079
823	27.83993045
824	27.85115359
825	27.84678904
826	27.84897132
827	27.85364762
828	27.84928307
829	27.86050621
830	27.86985882
831	27.86518252
832	27.86767655
833	27.89511089
834	27.88170547
835	27.91350436
836	27.91350436
837	27.92036295
838	27.93158609
839	27.95683815
840	27.9774139
841	27.98676652
842	28.03228258
843	28.05971692
844	28.06439323
845	28.0989979
846	28.10336246
847	28.12393821
848	28.11489735
849	28.10803876
850	28.11489735
851	28.13110855
852	28.12830276
853	28.14233169
854	28.14482572
855	28.1354731
856	28.13796713
857	28.15137255
858	28.1307968
859	28.1354731
860	28.14950203
861	28.147008
862	28.1354731
863	28.13796713
864	28.15854289
865	28.17444233
866	28.18379495
867	28.17226006
868	28.16758375
869	28.18784775
870	28.19034178
871	28.17693636
872	28.17693636
873	28.18597723
874	28.1996944
875	28.21122929
876	28.19034178
877	28.21559384
878	28.2205819
879	28.20686473
880	28.2159056
881	28.2205819
882	28.22962277
883	28.21372332
884	28.23648135
885	28.22276418
886	28.25487483
887	28.22962277
888	28.26173341
889	28.23866363
890	28.26142166
891	28.26142166
892	28.24552221
893	28.25206904
894	28.26360393
895	28.28199741
896	28.28667372
897	28.28012689
898	28.28698547
899	28.27763286
900	28.27513883
901	28.28199741
902	28.30039089
903	28.27545058
904	28.28698547
905	28.31909612
906	28.29820861
907	28.30756123
908	28.30943175
